gname,Gene name,Normalised expression value,Percentage
Ctrl,TTC25,0.432,0.175
Ctrl,TTC29,2.344,0.456
Ctrl,CATSPER3,0.314,0.119
Ctrl,PIH1D3,0.735,0.208
Ctrl,RSPH3,0.446,0.189
Ctrl,RSPH1,0.321,0.144
Ctrl,CFAP61,0.464,0.198
Ctrl,CFAP44,0.528,0.224
Ctrl,CCDC65,0.757,0.235
Ctrl,DNAH6,0.411,0.17
Ctrl,DNAH7,0.393,0.179
Ctrl,DNAH8,0.592,0.221
Ctrl,WDR63,0.428,0.148
OA,TTC25,0.874,0.352
OA,TTC29,4.119,0.651
OA,CATSPER3,0.7,0.254
OA,PIH1D3,0.958,0.32
OA,RSPH3,0.597,0.271
OA,RSPH1,0.622,0.271
OA,CFAP61,0.682,0.314
OA,CFAP44,0.734,0.326
OA,CCDC65,1.734,0.465
OA,DNAH6,0.704,0.281
OA,DNAH7,0.531,0.25
OA,DNAH8,0.715,0.299
OA,WDR63,0.69,0.259
