gname,Gene name,Scaled Normalised expression value,Percentage
Ctrl,TTC25,0.0,0.175
Ctrl,TTC29,0.0,0.456
Ctrl,CATSPER3,0.0,0.119
Ctrl,PIH1D3,0.0,0.208
Ctrl,RSPH3,0.0,0.189
Ctrl,RSPH1,0.0,0.144
Ctrl,CFAP61,0.0,0.198
Ctrl,CFAP44,0.0,0.224
Ctrl,CCDC65,0.0,0.235
Ctrl,DNAH6,0.0,0.17
Ctrl,DNAH7,0.0,0.179
Ctrl,DNAH8,0.0,0.221
Ctrl,WDR63,0.0,0.148
OA,TTC25,1.0,0.352
OA,TTC29,1.0,0.651
OA,CATSPER3,1.0,0.254
OA,PIH1D3,1.0,0.32
OA,RSPH3,1.0,0.271
OA,RSPH1,1.0,0.271
OA,CFAP61,1.0,0.314
OA,CFAP44,1.0,0.326
OA,CCDC65,1.0,0.465
OA,DNAH6,1.0,0.281
OA,DNAH7,1.0,0.25
OA,DNAH8,1.0,0.299
OA,WDR63,1.0,0.259
