gene,source_pdf,exists,raw_support_copy
WDR63,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/WDR63 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_WDR63_violin_by_gname.pdf
TTC25,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/TTC25 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_TTC25_violin_by_gname.pdf
TTC29,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/TTC29 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_TTC29_violin_by_gname.pdf
CATSPER3,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CATSPER3 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_CATSPER3_violin_by_gname.pdf
PIH1D3,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/PIH1D3 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_PIH1D3_violin_by_gname.pdf
RSPH3,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/RSPH3 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_RSPH3_violin_by_gname.pdf
RSPH1,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/RSPH1 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_RSPH1_violin_by_gname.pdf
CFAP61,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CFAP61 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_CFAP61_violin_by_gname.pdf
CFAP44,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CFAP44 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_CFAP44_violin_by_gname.pdf
CCDC65,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CCDC65 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_CCDC65_violin_by_gname.pdf
DNAH6,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/DNAH6 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_DNAH6_violin_by_gname.pdf
DNAH7,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/DNAH7 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_DNAH7_violin_by_gname.pdf
DNAH8,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/DNAH8 normalised expression value_violin_by_gname.pdf,True,raw_support/SupFig7E_DNAH8_violin_by_gname.pdf
