cluster,group,count,percent
Sperm,Ctrl,8929,0.46413348580933567
Elongated_Spermatids,Ctrl,1351,0.07022559517621374
Round_Spermatids,Ctrl,97,0.005042104168832519
Late_primary_SPCs,Ctrl,1266,0.0658072564715667
Early_primary_SPCs,Ctrl,2789,0.14497348996777212
SPGs,Ctrl,457,0.023755068094396505
SSCs,Ctrl,4349,0.22606300031188273
Sperm,OA,5004,0.2912858722859305
Elongated_Spermatids,OA,77,0.004482216659875429
Round_Spermatids,OA,6318,0.36777460853367483
Late_primary_SPCs,OA,1906,0.11094941498340997
Early_primary_SPCs,OA,1529,0.0890040165318121
SPGs,OA,1073,0.06245998020839397
SSCs,OA,1272,0.0740438907969032
