ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
BP,GO:0003341,cilium movement,50/1137,175/18723,6.61256502650599e-21,3.01003960006553e-17,2.88447047050956e-17,ROPN1L/RSPH4A/ADCY10/MKKS/CATSPER2/KIF27/RSPH6A/CATSPER3/CFAP45/ZBBX/ARMC2/DNAJA1/RSPH9/DRC1/APOB/ENKUR/GAS8/ROPN1B/CFAP61/EFCAB9/CFAP65/DNAH7/SLC22A16/PRSS55/TMF1/CFAP70/MEIG1/SLC9B1/DNAI1/DNAI2/TTC12/SPEF2/DAW1/DNAAF1/TEKT3/DPCD/CCDC63/TTC29/CFAP53/CCDC65/NME5/CFAP206/FSIP2/SLIRP/TEKT1/MNS1/LDHC/ZMYND10/GAPDHS/SPA17,50,20.179630044179614
BP,GO:0007018,microtubule-based movement,76/1137,382/18723,1.74944162939749e-20,3.9817291485086996e-17,3.81562426959117e-17,ROPN1L/RSPH4A/KIF3A/ADCY10/TTC30B/MKKS/CATSPER2/KIF27/RSPH6A/CATSPER3/CFAP45/CENPE/TRAF3IP1/ZBBX/ARMC2/KIF11/DNAJA1/RSPH9/DRC1/APOB/TTC30A/ENKUR/IFT88/PRKCZ/GAS8/KIF18A/ROPN1B/DYNC1I2/CFAP61/DST/IFT122/EFCAB9/DLGAP5/IFT74/KIF15/DYNLRB2/CFAP65/DNAH7/SLC22A16/PRSS55/TTC26/PCM1/TMF1/CFAP70/MEIG1/SLC9B1/DNAI1/DNAI2/KIF23/TTC12/KIF5B/SPEF2/DAW1/DNAAF1/TEKT3/RAB27B/DPCD/CCDC63/TTC29/CFAP53/CCDC65/HSBP1/NME5/DYNC2LI1/CFAP206/FSIP2/SLIRP/LCA5L/TEKT1/KIF9/MNS1/LDHC/ZMYND10/GAPDHS/SPA17/UBB,76,19.757100543294523
BP,GO:0044782,cilium organization,73/1137,368/18723,1.21524501094967e-19,1.84393176328096e-16,1.76700888609664e-16,RSPH4A/KIF3A/HYLS1/TTC30B/MKKS/TBC1D32/TTC17/KIF27/RSPH6A/CEP70/UBXN10/TRAF3IP1/CFAP161/CEP135/ARMC2/RSPH9/DRC1/ODF2L/CYLD/LRRC49/TTC30A/ATG3/CEP290/CEP162/IFT88/TBC1D7/CEP41/GAS8/ROPN1B/CFAP61/BBS5/IFT122/VDAC3/IFT74/CEP19/CFAP65/DNAH7/TMEM67/TTC26/PCM1/CC2D2B/CFAP70/DCDC2/MEIG1/DNAI1/DNAI2/TTC12/SPEF2/DAW1/DNAAF1/TEKT3/SPAG1/B9D1/CCDC63/CCDC88A/TTC29/CFAP53/BBOF1/CCDC65/DNAJB13/DNAL1/NME5/DYNC2LI1/CFAP206/FSIP2/LCA5L/TEKT1/MNS1/BBIP1/RPGRIP1/ZMYND10/FUZ/CFAP126,73,18.915336153196417
BP,GO:0060271,cilium assembly,65/1137,337/18723,5.65230101758563e-17,5.1459060702963805e-14,4.93123549054393e-14,RSPH4A/KIF3A/HYLS1/MKKS/TBC1D32/KIF27/RSPH6A/CEP70/UBXN10/TRAF3IP1/CFAP161/CEP135/ARMC2/RSPH9/DRC1/ODF2L/CYLD/LRRC49/ATG3/CEP290/CEP162/IFT88/TBC1D7/CEP41/GAS8/BBS5/IFT122/VDAC3/IFT74/CEP19/CFAP65/DNAH7/TMEM67/TTC26/PCM1/CC2D2B/CFAP70/DCDC2/MEIG1/DNAI1/DNAI2/TTC12/SPEF2/DAW1/DNAAF1/TEKT3/SPAG1/B9D1/CCDC63/CCDC88A/CFAP53/BBOF1/CCDC65/DNAJB13/DNAL1/NME5/DYNC2LI1/CFAP206/FSIP2/TEKT1/MNS1/BBIP1/RPGRIP1/ZMYND10/FUZ,65,16.247774717524955
BP,GO:0009566,fertilization,47/1137,190/18723,5.65235728283873e-17,5.1459060702963805e-14,4.93123549054393e-14,CCDC136/CCT7/PLB1/CATSPER2/CCT3/CRISP1/PLCD4/CLGN/UBE3A/PLCZ1/ACRBP/APOB/SYCP2/CDK1/GLIPR1L2/SPAG8/ADAM20/ROPN1B/KLHL10/OR10J1/TCP1/C16orf92/ADAM18/CCT4/SLC22A16/PRSS55/SNU13/ZPBP2/ADAM5/TMPRSS12/BCL2L1/SLC9B1/ADAM2/LYZL6/CCT5/LLCFC1/SPAM1/SPAG1/ADAM32/SPESP1/ACR/EQTN/ZPBP/FUT10/SLIRP/ZP1/SPA17,47,16.247770394406412
BP,GO:0022412,cellular process involved in reproduction in multicellular organism,69/1137,384/18723,2.85968701604754e-16,2.16954921617473e-13,2.0790426306142099e-13,ROPN1L/CCDC136/SYCP1/MKKS/CATSPER2/CRISP1/RSPH6A/CATSPER3/BNC1/HSPA2/SYCP3/ARMC2/KNL1/PIWIL1/ACRBP/SPDYA/SYCP2/KIF18A/ROPN1B/SPINK2/KLHL10/EFCAB9/PSME4/INSL3/C16orf92/CFAP65/TTC26/PACRG/ZPBP2/TMF1/AURKC/MEIG1/TEX15/BCL2L1/CCDC42/BRDT/TTC12/ADAM2/SHCBP1L/YTHDC2/CCNB2/SPEF2/LYZL6/ZMYND15/MLH1/LLCFC1/SPAM1/TBPL1/SOS1/CCDC63/HORMAD1/NPHP1/TTK/DDX25/SPESP1/ADAD1/PLK1/NME5/EQTN/ZPBP/CFAP206/FSIP2/CCNB1/SLIRP/MNS1/TSSK1B/METTL3/TSSK2/UBB,69,15.543681496465927
BP,GO:0007338,single fertilization,40/1137,153/18723,1.5753329075024e-15,1.02441648499299e-12,9.81681138148867e-13,CCDC136/CCT7/PLB1/CCT3/CRISP1/PLCD4/CLGN/UBE3A/PLCZ1/CDK1/GLIPR1L2/SPAG8/ADAM20/ROPN1B/OR10J1/TCP1/C16orf92/ADAM18/CCT4/SLC22A16/PRSS55/SNU13/ZPBP2/ADAM5/TMPRSS12/SLC9B1/ADAM2/LYZL6/CCT5/LLCFC1/SPAM1/SPAG1/ADAM32/SPESP1/ACR/EQTN/ZPBP/SLIRP/ZP1/SPA17,40,14.802627654818181
BP,GO:0048515,spermatid differentiation,42/1137,172/18723,4.2486459278023e-15,2.38901474039226e-12,2.28935276204456e-12,ROPN1L/CCDC136/SYCP1/MKKS/CATSPER2/RSPH6A/CATSPER3/HSPA2/SYCP3/ARMC2/KNL1/PIWIL1/ACRBP/ROPN1B/SPINK2/KLHL10/EFCAB9/PSME4/CFAP65/TTC26/PACRG/ZPBP2/TMF1/MEIG1/CCDC42/TTC12/YTHDC2/SPEF2/ZMYND15/TBPL1/CCDC63/NPHP1/DDX25/ADAD1/NME5/ZPBP/CFAP206/FSIP2/SLIRP/MNS1/TSSK1B/TSSK2,42,14.371749460487083
BP,GO:0007286,spermatid development,41/1137,165/18723,4.72344742168943e-15,2.38901474039226e-12,2.28935276204456e-12,ROPN1L/CCDC136/SYCP1/MKKS/CATSPER2/RSPH6A/CATSPER3/HSPA2/SYCP3/ARMC2/KNL1/PIWIL1/ACRBP/ROPN1B/SPINK2/KLHL10/EFCAB9/PSME4/CFAP65/TTC26/PACRG/ZPBP2/TMF1/MEIG1/CCDC42/TTC12/YTHDC2/SPEF2/ZMYND15/TBPL1/CCDC63/DDX25/ADAD1/NME5/ZPBP/CFAP206/FSIP2/SLIRP/MNS1/TSSK1B/TSSK2,41,14.32574091456145
BP,GO:0001539,cilium or flagellum-dependent cell motility,37/1137,138/18723,7.597162456563881e-15,3.14384395475262e-12,3.01269293971299e-12,ROPN1L/RSPH4A/MKKS/CATSPER2/RSPH6A/CATSPER3/CFAP45/ARMC2/DNAJA1/RSPH9/EFHC1/DRC1/APOB/ENKUR/GAS8/ROPN1B/EFCAB9/CFAP65/DNAH7/SLC22A16/PRSS55/TMF1/MEIG1/SLC9B1/DNAI1/TTC12/SPEF2/TEKT3/DPCD/CCDC65/CFAP206/FSIP2/SLIRP/TEKT1/MNS1/LDHC/GAPDHS,37,14.119348586609421
BP,GO:0060285,cilium-dependent cell motility,37/1137,138/18723,7.597162456563881e-15,3.14384395475262e-12,3.01269293971299e-12,ROPN1L/RSPH4A/MKKS/CATSPER2/RSPH6A/CATSPER3/CFAP45/ARMC2/DNAJA1/RSPH9/EFHC1/DRC1/APOB/ENKUR/GAS8/ROPN1B/EFCAB9/CFAP65/DNAH7/SLC22A16/PRSS55/TMF1/MEIG1/SLC9B1/DNAI1/TTC12/SPEF2/TEKT3/DPCD/CCDC65/CFAP206/FSIP2/SLIRP/TEKT1/MNS1/LDHC/GAPDHS,37,14.119348586609421
BP,GO:0007339,binding of sperm to zona pellucida,19/1137,40/18723,2.5599054428828997e-13,9.71057464666913e-11,9.305480837988359e-11,CCT7/CCT3/CRISP1/CLGN/GLIPR1L2/TCP1/ADAM18/CCT4/PRSS55/ZPBP2/ADAM5/TMPRSS12/ADAM2/CCT5/SPAM1/ADAM32/ACR/ZPBP/SPA17,19,12.591776076247763
BP,GO:0060294,cilium movement involved in cell motility,33/1137,125/18723,3.49498968353056e-13,1.2237840799562401e-10,1.17273176101625e-10,ROPN1L/RSPH4A/MKKS/CATSPER2/RSPH6A/CATSPER3/CFAP45/ARMC2/DNAJA1/RSPH9/APOB/ENKUR/GAS8/ROPN1B/EFCAB9/CFAP65/SLC22A16/PRSS55/TMF1/MEIG1/SLC9B1/DNAI1/TTC12/SPEF2/TEKT3/DPCD/CFAP206/FSIP2/SLIRP/TEKT1/MNS1/LDHC/GAPDHS,33,12.456554101861752
BP,GO:0035082,axoneme assembly,26/1137,82/18723,1.09284343203478e-12,3.55330235901594e-10,3.40507006191889e-10,RSPH4A/RSPH6A/ARMC2/RSPH9/DRC1/LRRC49/GAS8/CFAP65/DNAH7/TTC26/MEIG1/DNAI1/DNAI2/TTC12/SPEF2/DAW1/DNAAF1/SPAG1/CCDC63/CCDC65/DNAJB13/DNAL1/CFAP206/FSIP2/MNS1/ZMYND10,26,11.961442053488474
BP,GO:0035036,sperm-egg recognition,20/1137,48/18723,1.29289953839287e-12,3.92351913250956e-10,3.75984258743863e-10,CCT7/CCT3/CRISP1/CLGN/GLIPR1L2/TCP1/ADAM18/CCT4/PRSS55/ZPBP2/ADAM5/TMPRSS12/ADAM2/CCT5/SPAM1/ADAM32/SPESP1/ACR/ZPBP/SPA17,20,11.88843521960271
BP,GO:0007281,germ cell development,49/1137,278/18723,1.3014395006651898e-11,3.7025953793924604e-09,3.54813505970825e-09,ROPN1L/CCDC136/SYCP1/MKKS/CATSPER2/RSPH6A/CATSPER3/BNC1/HSPA2/SYCP3/ARMC2/KNL1/PIWIL1/ACRBP/ROPN1B/SPINK2/KLHL10/EFCAB9/PSME4/INSL3/CFAP65/TTC26/PACRG/ZPBP2/TMF1/AURKC/MEIG1/BCL2L1/CCDC42/TTC12/YTHDC2/SPEF2/ZMYND15/MLH1/TBPL1/CCDC63/HORMAD1/DDX25/ADAD1/NME5/ZPBP/CFAP206/FSIP2/CCNB1/SLIRP/MNS1/TSSK1B/METTL3/TSSK2,49,10.885576015905082
BP,GO:0001578,microtubule bundle formation,29/1137,113/18723,2.0072542643984398e-11,5.37471847737748e-09,5.15050258307563e-09,RSPH4A/RSPH6A/NUMA1/ARMC2/RSPH9/ZNF207/DRC1/LRRC49/GAS8/CFAP65/DNAH7/TTC26/MEIG1/DNAI1/DNAI2/TTC12/SPEF2/DAW1/DNAAF1/SPAG1/CCDC63/CCDC65/DNAJB13/PLK1/DNAL1/CFAP206/FSIP2/MNS1/ZMYND10,29,10.697397610755697
