ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
BP,GO:0007059,chromosome segregation,82/1372,346/18723,5.68535613189905e-22,2.76422015132932e-18,2.54225187876918e-18,KNL1/RAN/SPATA22/TERB2/ANAPC11/TPR/BIRC5/NCAPH/CENPF/ESCO1/SYCP1/RAB11A/NUF2/UBE2C/SPDL1/TTK/TOP2A/CENPC/KPNB1/SYCE3/HORMAD1/PCID2/SGO2/BANF1/SRPK1/CENPW/BUB1B/CENPS/SMC2/CDC20/ARL8B/SMC4/CDCA8/ZWINT/SMC3/DYNC1H1/DYNC1LI1/MIS18A/CCNB1IP1/SMC5/CDCA2/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/SYCP2/PTTG1/UBE2I/CDK5RAP2/CDC16/CCNE2/SKA3/ESCO2/C14orf39/SKA2/NDC1/WAPL/KIF18A/NIPBL/CDCA5/ANAPC7/CIAO1/RMI1/ATM/TTL/GEN1/CEP85/MAEL/CSNK2A1/SEH1L/TOP1/DSN1/SMC6/STAG3L2/BUB3/BUB1/RAD18/TRAPPC12/IK,82,21.245242325826847
BP,GO:0000280,nuclear division,91/1372,439/18723,5.34008547522908e-20,1.29817477902819e-16,1.19393068940911e-16,CEP97/CKS2/RAN/SPATA22/TERB2/SLC25A31/ANAPC11/TPR/NCAPH/CENPF/SYCP1/RAB11A/NUF2/UBE2C/SPDL1/TTK/TOP2A/REEP3/PSMA8/CENPC/KPNB1/RHOA/SYCE3/HSPA2/HORMAD1/PCID2/SGO2/SPDYA/BUB1B/CENPS/SMC2/TPX2/BRDT/CCNB2/CDC20/SMC4/CDCA8/ZWINT/BCCIP/SMC3/RANBP1/AURKA/DYNC1LI1/CCNB1IP1/SMC5/CDCA2/RGCC/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/PSMD13/SYCP2/PTTG1/FBXO43/UBE2I/CDK5RAP2/DRG1/OBSL1/CDC16/CCNE2/MYBL1/CNTD1/KIF20B/C14orf39/ANKLE2/NDC1/KIF18A/SYCP3/NIPBL/CDCA5/ANAPC7/RMI1/ATM/RAD1/GEN1/CEP85/MAEL/TDRD12/SEH1L/DSN1/KIF2A/PRKAR1A/DDX4/BUB3/CDC14C/BUB1/IK,91,19.272451791450237
BP,GO:0048285,organelle fission,96/1372,488/18723,2.22628661153344e-19,3.5445192956465e-16,3.25989260817648e-16,CEP97/CKS2/RAN/DNM1L/SPATA22/TERB2/SLC25A31/ANAPC11/TPR/NCAPH/CENPF/SYCP1/RAB11A/NUF2/UBE2C/SPDL1/TTK/TOP2A/REEP3/PSMA8/CENPC/KPNB1/RHOA/SYCE3/HSPA2/HORMAD1/PCID2/SGO2/SPDYA/BUB1B/CENPS/SMC2/TPX2/BRDT/CCNB2/MTFR1L/CDC20/SMC4/CDCA8/ZWINT/BCCIP/SMC3/RANBP1/COX10/AURKA/DYNC1LI1/CCNB1IP1/SMC5/CDCA2/RGCC/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/PSMD13/SYCP2/PTTG1/FBXO43/UBE2I/CDK5RAP2/DRG1/OBSL1/CDC16/MFF/CCNE2/MYBL1/CNTD1/KIF20B/C14orf39/ANKLE2/NDC1/KIF18A/SYCP3/NIPBL/CDCA5/ANAPC7/RMI1/ATM/RAD1/GEN1/CEP85/MAEL/TDRD12/SEH1L/DSN1/KIF2A/PRKAR1A/DDX4/BUB3/CDC14C/BUB1/RALA/IK,96,18.652418925448426
BP,GO:0008380,RNA splicing,89/1372,434/18723,2.91609979074167e-19,3.5445192956465e-16,3.25989260817648e-16,SRSF11/RBM17/SUGP2/THOC7/WBP11/PRKRIP1/PABPC1/PPIE/SNW1/SLU7/NCBP1/NPM1/RTRAF/UBL5/PRPF38A/SNRPC/HNRNPA2B1/SF3B1/LUC7L/PRDX6/DDX17/SF3B6/SON/SNRPD1/ZCRB1/DDX1/SRPK1/PRPF6/HNRNPC/BRDT/LSM8/LSM3/ZNF638/RALY/SMU1/HSPA8/HNRNPH3/YBX1/SRSF12/SETX/RBM25/SRSF3/SRRM1/REST/SNU13/RTCB/CWC25/SNRPA1/CWF19L2/JMJD6/SF3B5/NSRP1/CLK2/RP9/SAP18/PPP4R2/THOC1/RBM39/BCAS2/DHX8/SF3B2/FRG1/SNRNP40/HNRNPH1/ZNF326/PPIG/HNRNPA3/SRSF10/RSRC1/SYNCRIP/ACIN1/PRPF38B/PDCD7/STRAP/HNRNPF/PRPF3/SRRM2/BUD13/CIR1/SRSF7/TRA2A/PTBP2/DDX39A/RBM6/DDX46/DHX16/TCERG1/RBM15/IK,89,18.535197618273504
BP,GO:0098813,nuclear chromosome segregation,66/1372,281/18723,1.05535881316306e-17,1.02623090991976e-14,9.438240501719311e-15,KNL1/RAN/SPATA22/TERB2/ANAPC11/TPR/NCAPH/CENPF/ESCO1/SYCP1/RAB11A/NUF2/UBE2C/SPDL1/TTK/TOP2A/CENPC/KPNB1/SYCE3/HORMAD1/PCID2/SGO2/BUB1B/CENPS/SMC2/CDC20/SMC4/CDCA8/ZWINT/SMC3/DYNC1H1/DYNC1LI1/CCNB1IP1/SMC5/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/SYCP2/PTTG1/CDK5RAP2/CDC16/CCNE2/ESCO2/C14orf39/NDC1/WAPL/KIF18A/NIPBL/CDCA5/ANAPC7/RMI1/ATM/TTL/GEN1/MAEL/SEH1L/DSN1/STAG3L2/BUB3/BUB1/TRAPPC12/IK,66,16.976599858770836
BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",68/1372,320/18723,8.18009251955566e-16,5.68165854715423e-13,5.22541849971014e-13,RBM17/WBP11/PABPC1/PPIE/SNW1/SLU7/NCBP1/NPM1/UBL5/PRPF38A/SNRPC/HNRNPA2B1/SF3B1/LUC7L/PRDX6/DDX17/SF3B6/SON/SNRPD1/ZCRB1/DDX1/SRPK1/PRPF6/HNRNPC/LSM8/LSM3/RALY/SMU1/HSPA8/HNRNPH3/SRSF12/SETX/RBM25/SRSF3/SRRM1/REST/SNU13/CWC25/SNRPA1/CWF19L2/JMJD6/SF3B5/NSRP1/SAP18/RBM39/BCAS2/DHX8/SF3B2/FRG1/SNRNP40/HNRNPH1/HNRNPA3/SRSF10/RSRC1/SYNCRIP/STRAP/HNRNPF/PRPF3/SRRM2/BUD13/SRSF7/TRA2A/DDX39A/RBM6/DDX46/DHX16/RBM15/IK,68,15.08724178428647
BP,GO:0000398,"mRNA splicing, via spliceosome",68/1372,320/18723,8.18009251955566e-16,5.68165854715423e-13,5.22541849971014e-13,RBM17/WBP11/PABPC1/PPIE/SNW1/SLU7/NCBP1/NPM1/UBL5/PRPF38A/SNRPC/HNRNPA2B1/SF3B1/LUC7L/PRDX6/DDX17/SF3B6/SON/SNRPD1/ZCRB1/DDX1/SRPK1/PRPF6/HNRNPC/LSM8/LSM3/RALY/SMU1/HSPA8/HNRNPH3/SRSF12/SETX/RBM25/SRSF3/SRRM1/REST/SNU13/CWC25/SNRPA1/CWF19L2/JMJD6/SF3B5/NSRP1/SAP18/RBM39/BCAS2/DHX8/SF3B2/FRG1/SNRNP40/HNRNPH1/HNRNPA3/SRSF10/RSRC1/SYNCRIP/STRAP/HNRNPF/PRPF3/SRRM2/BUD13/SRSF7/TRA2A/DDX39A/RBM6/DDX46/DHX16/RBM15/IK,68,15.08724178428647
BP,GO:0000375,"RNA splicing, via transesterification reactions",68/1372,324/18723,1.5816480494818802e-15,9.61246602072614e-13,8.84058015026189e-13,RBM17/WBP11/PABPC1/PPIE/SNW1/SLU7/NCBP1/NPM1/UBL5/PRPF38A/SNRPC/HNRNPA2B1/SF3B1/LUC7L/PRDX6/DDX17/SF3B6/SON/SNRPD1/ZCRB1/DDX1/SRPK1/PRPF6/HNRNPC/LSM8/LSM3/RALY/SMU1/HSPA8/HNRNPH3/SRSF12/SETX/RBM25/SRSF3/SRRM1/REST/SNU13/CWC25/SNRPA1/CWF19L2/JMJD6/SF3B5/NSRP1/SAP18/RBM39/BCAS2/DHX8/SF3B2/FRG1/SNRNP40/HNRNPH1/HNRNPA3/SRSF10/RSRC1/SYNCRIP/STRAP/HNRNPF/PRPF3/SRRM2/BUD13/SRSF7/TRA2A/DDX39A/RBM6/DDX46/DHX16/RBM15/IK,68,14.800890149898315
BP,GO:0140014,mitotic nuclear division,62/1372,287/18723,6.9967878733643405e-15,3.77982029336638e-12,3.47629881708207e-12,CEP97/RAN/ANAPC11/TPR/NCAPH/CENPF/RAB11A/NUF2/UBE2C/SPDL1/TTK/REEP3/CENPC/KPNB1/RHOA/PCID2/SGO2/BUB1B/SMC2/TPX2/CDC20/SMC4/CDCA8/ZWINT/BCCIP/SMC3/RANBP1/AURKA/DYNC1LI1/SMC5/CDCA2/RGCC/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/PTTG1/FBXO43/UBE2I/CDK5RAP2/DRG1/OBSL1/CDC16/KIF20B/ANKLE2/KIF18A/NIPBL/CDCA5/ANAPC7/ATM/GEN1/CEP85/SEH1L/DSN1/KIF2A/BUB3/CDC14C/BUB1/IK,62,14.15510129270553
BP,GO:0000819,sister chromatid segregation,50/1372,202/18723,1.0810451272001901e-14,5.25604140844735e-12,4.83397863194361e-12,RAN/ANAPC11/TPR/NCAPH/CENPF/ESCO1/RAB11A/NUF2/UBE2C/SPDL1/TTK/TOP2A/CENPC/KPNB1/HORMAD1/PCID2/SGO2/BUB1B/SMC2/CDC20/SMC4/CDCA8/ZWINT/SMC3/DYNC1LI1/SMC5/TACC3/SLF2/SLF1/RACGAP1/PSMG2/SPAG5/NEK2/PTTG1/CDK5RAP2/CDC16/ESCO2/WAPL/KIF18A/NIPBL/CDCA5/ANAPC7/ATM/GEN1/SEH1L/DSN1/STAG3L2/BUB3/BUB1/IK,50,13.966156176458382
