ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
BP,GO:0007018,microtubule-based movement,44/799,382/18723,2.2218937343167e-09,9.73633834377576e-06,9.73633834377576e-06,IFT20/ZBBX/APOB/SUN1/ZMYND10/RFX3/PRSS55/RAB27B/CABYR/APP/MAP1S/CFAP100/TEKT4/TEKT3/DNAH5/MAPT/KIFAP3/CFAP65/IFT172/TEKT1/SOD1/RAB1A/KIF2C/TEKT2/IFT57/PRKCZ/TEKT5/DYNLT3/KIF15/KIF5C/KIF2B/RAB21/SPEM1/PRM3/UBB/SPA17/CFAP97D1/IQCF1/SMCP/AKAP4/TPPP2/CABS1/GAPDHS/TNP1,44,8.653276715738746
BP,GO:0003341,cilium movement,25/799,175/18723,1.14333089127212e-07,0.0002078907587341,0.0002078907587341,ZBBX/APOB/ZMYND10/RFX3/PRSS55/CABYR/CFAP100/TEKT4/TEKT3/DNAH5/CFAP65/TEKT1/TEKT2/TEKT5/SPEM1/PRM3/SPA17/CFAP97D1/IQCF1/SMCP/AKAP4/TPPP2/CABS1/GAPDHS/TNP1,25,6.9418280622933715
BP,GO:0009566,fertilization,26/799,190/18723,1.53891736779667e-07,0.0002078907587341,0.0002078907587341,PLCD4/APOB/PRSS55/EQTN/SPAM1/TNP2/LYZL4/KLHL10/TRIM36/C16orf92/SPATA46/FUT10/AKAP3/BCL2L1/LLCFC1/HSPA1L/WBP2NL/PRSS37/ZP1/PLCZ1/SPACA3/SPA17/IQCF1/SMCP/AKAP4/TNP1,26,6.812784698994633
BP,GO:0022412,cellular process involved in reproduction in multicellular organism,40/799,384/18723,1.89767922167152e-07,0.0002078907587341,0.0002078907587341,INSL3/ZMIZ1/DIAPH2/CDYL/TEX15/EQTN/CABYR/TCP11/SPAM1/TNP2/LYZL4/SPIRE1/KLHL10/CFAP65/PRDX4/DPY19L2P2/C16orf92/SPATA46/SUN5/AFF4/BCL2L1/LLCFC1/METTL3/GALNTL5/HOOK1/ODF2/UBE2J1/SPEM1/PAQR7/SPACA3/TSSK6/FSCN3/UBB/SPANXB1/CFAP97D1/IQCF1/TSSK1B/TSSK2/TNP1/PRM2,40,6.721777197615673
BP,GO:0016311,dephosphorylation,42/799,417/18723,2.3721795382824e-07,0.000207897814735,0.000207897814735,DUSP3/SSU72/CTDSP2/PPM1J/PPM1A/NT5C2/NT5C1B/PPP2R1B/PPEF1/MAGI2/RPAP2/PGP/PPP1CB/PLPP1/PPP1R2C/FAM220A/PPP1R17/PPP2R2C/DUSP13/GNAI2/LRRC39/INPP4B/MEF2C/ACP1/DUSP21/CDC14A/DUSP15/RPRD1A/TMEM225/PHOSPHO1/TSC1/PPP2R5A/PPP3CC/LPIN1/PPP1R11/INPP1/PP2D1/ARPP19/PSPHP1/PTP4A1/PPP2R2B/PINK1,42,6.6248524445090435
BP,GO:0007286,spermatid development,23/799,165/18723,5.69722252295074e-07,0.0003645032065998,0.0003645032065998,CDYL/CABYR/TCP11/TNP2/KLHL10/CFAP65/DPY19L2P2/SUN5/AFF4/GALNTL5/HOOK1/ODF2/UBE2J1/SPEM1/TSSK6/FSCN3/SPANXB1/CFAP97D1/IQCF1/TSSK1B/TSSK2/TNP1/PRM2,23,6.244336817474639
BP,GO:0007338,single fertilization,22/799,153/18723,5.82273492970979e-07,0.0003645032065998,0.0003645032065998,PLCD4/PRSS55/EQTN/SPAM1/TNP2/LYZL4/TRIM36/C16orf92/SPATA46/AKAP3/LLCFC1/HSPA1L/WBP2NL/PRSS37/ZP1/PLCZ1/SPACA3/SPA17/IQCF1/SMCP/AKAP4/TNP1,22,6.23487297997348
BP,GO:0048515,spermatid differentiation,23/799,172/18723,1.19639376484908e-06,0.0006058156968142,0.0006058156968142,CDYL/CABYR/TCP11/TNP2/KLHL10/CFAP65/DPY19L2P2/SUN5/AFF4/GALNTL5/HOOK1/ODF2/UBE2J1/SPEM1/TSSK6/FSCN3/SPANXB1/CFAP97D1/IQCF1/TSSK1B/TSSK2/TNP1/PRM2,23,5.922125859013082
BP,GO:0006470,protein dephosphorylation,31/799,281/18723,1.3447192218543e-06,0.0006058156968142,0.0006058156968142,DUSP3/SSU72/CTDSP2/PPM1J/PPM1A/PPP2R1B/PPEF1/MAGI2/RPAP2/PGP/PPP1CB/PPP1R2C/FAM220A/PPP2R2C/DUSP13/GNAI2/LRRC39/ACP1/DUSP21/CDC14A/DUSP15/RPRD1A/TSC1/PPP2R5A/PPP3CC/PPP1R11/PP2D1/ARPP19/PTP4A1/PPP2R2B/PINK1,31,5.871368387132981
BP,GO:0060294,cilium movement involved in cell motility,19/799,125/18723,1.44490472165729e-06,0.0006058156968142,0.0006058156968142,APOB/PRSS55/TEKT4/TEKT3/DNAH5/CFAP65/TEKT1/TEKT2/TEKT5/SPEM1/PRM3/CFAP97D1/IQCF1/SMCP/AKAP4/TPPP2/CABS1/GAPDHS/TNP1,19,5.840160789739775
