gname,Gene name,Normalised expression value,Percentage
Ctrl,FLII,0.285,0.139
Ctrl,FNDC8,0.125,0.056
Ctrl,LY6K,0.112,0.055
Ctrl,HSPA1A,0.582,0.195
Ctrl,HMOX1,0.077,0.033
Ctrl,FTH1,0.683,0.229
Ctrl,CDKN3,8.717,0.643
Ctrl,ADAM7,0.707,0.177
Ctrl,SPA17,1.45,0.438
Ctrl,GAPDHS,0.102,0.049
Ctrl,LDHC,6.533,0.522
Ctrl,ADGRG2,0.078,0.039
Ctrl,TSSK1B,0.641,0.195
Ctrl,TSSK2,0.0,0.0
Ctrl,NDUFS7,0.188,0.101
Ctrl,NDUFB4,4.516,0.646
Ctrl,UQCR10,5.02,0.716
Ctrl,NDUFC1,3.167,0.569
Ctrl,ATP5IF1,5.7,0.635
Ctrl,COX6C,7.953,0.836
Ctrl,COX20,0.077,0.041
OA,FLII,1.606,0.513
OA,FNDC8,1.328,0.293
OA,LY6K,1.639,0.24
OA,HSPA1A,0.22,0.118
OA,HMOX1,0.036,0.023
OA,FTH1,4.1,0.582
OA,CDKN3,13.996,0.787
OA,ADAM7,1.602,0.341
OA,SPA17,8.892,0.84
OA,GAPDHS,4.6,0.524
OA,LDHC,14.284,0.728
OA,ADGRG2,0.027,0.014
OA,TSSK1B,3.656,0.541
OA,TSSK2,4.021,0.533
OA,NDUFS7,2.102,0.618
OA,NDUFB4,8.68,0.793
OA,UQCR10,8.42,0.826
OA,NDUFC1,6.466,0.749
OA,ATP5IF1,12.42,0.8
OA,COX6C,11.832,0.896
OA,COX20,0.836,0.304
