gene_order,gene,Ctrl_mean,OA_mean,found_in_expression_source
1,FLII,0.285,1.606,True
2,FNDC8,0.125,1.328,True
3,LY6K,0.112,1.639,True
4,HSPA1A,0.582,0.22,True
5,HMOX1,0.077,0.036,True
6,FTH1,0.683,4.1,True
7,CDKN3,8.717,13.996,True
8,ADAM7,0.707,1.602,True
9,SPA17,1.45,8.892,True
10,GAPDHS,0.102,4.6,True
11,LDHC,6.533,14.284,True
12,ADGRG2,0.078,0.027,True
13,TSSK1B,0.641,3.656,True
14,TSSK2,0.0,4.021,True
15,NDUFS7,0.188,2.102,True
16,NDUFB4,4.516,8.68,True
17,UQCR10,5.02,8.42,True
18,NDUFC1,3.167,6.466,True
19,ATP5IF1,5.7,12.42,True
20,COX6C,7.953,11.832,True
21,COX20,0.077,0.836,True
