group,gene,n_cells,mean,median,q1,q3,min,max
Ctrl,CATSPER3,21351,0.14296493458639548,0.0,0.0,0.0,0.0,2.792738676071167
Ctrl,CCDC65,21351,0.310922183655089,0.0,0.0,0.0,0.0,3.068230152130127
Ctrl,DNAH8,21351,0.26390893431626844,0.0,0.0,0.0,0.0,3.7207536697387695
Ctrl,PIH1D3,21351,0.2837520230333451,0.0,0.0,0.0,0.0,3.7105417251586914
OA,CATSPER3,18119,0.31075115411333826,0.0,0.0,0.4849676042795181,0.0,2.828956842422486
OA,CCDC65,18119,0.6667825877222374,0.0,0.0,1.358185350894928,0.0,3.0547966957092285
OA,DNAH8,18119,0.33736605455632096,0.0,0.0,0.729394942522049,0.0,3.090221881866455
OA,PIH1D3,18119,0.40607172677082576,0.0,0.0,0.8845183849334717,0.0,3.176945686340332
AZFc_Del,CATSPER3,22279,0.12707579788418355,0.0,0.0,0.0,0.0,2.935539960861206
AZFc_Del,CCDC65,22279,0.3180424141479334,0.0,0.0,0.0,0.0,3.1877012252807617
AZFc_Del,DNAH8,22279,0.17804733889364802,0.0,0.0,0.0,0.0,3.042999744415283
AZFc_Del,PIH1D3,22279,0.2405435181741168,0.0,0.0,0.0,0.0,3.087644338607788
iNOA_B,CATSPER3,6625,0.0027014319581805534,0.0,0.0,0.0,0.0,2.4880290031433105
iNOA_B,CCDC65,6625,0.1367789861930991,0.0,0.0,0.0,0.0,2.638732433319092
iNOA_B,DNAH8,6625,0.13894148177920648,0.0,0.0,0.0,0.0,3.7964181900024414
iNOA_B,PIH1D3,6625,0.06659382225432486,0.0,0.0,0.0,0.0,2.92903470993042
iNOA_S,CATSPER3,17787,0.0010187800624100215,0.0,0.0,0.0,0.0,2.0394949913024902
iNOA_S,CCDC65,17787,0.002931640303583285,0.0,0.0,0.0,0.0,2.1222901344299316
iNOA_S,DNAH8,17787,0.0,0.0,0.0,0.0,0.0,0.0
iNOA_S,PIH1D3,17787,0.0007112021489657284,0.0,0.0,0.0,0.0,1.4714863300323486
KS,CATSPER3,18646,0.21179251899141796,0.0,0.0,0.0,0.0,2.66853404045105
KS,CCDC65,18646,0.3017716467952723,0.0,0.0,0.5077119171619415,0.0,2.690653085708618
KS,DNAH8,18646,0.21656691149447746,0.0,0.0,0.0,0.0,2.9837470054626465
KS,PIH1D3,18646,0.21898978877627617,0.0,0.0,0.0,0.0,2.6784417629241943
