gene,source_rank,source_tag,source_path,exists,selected_primary,raw_support_copy
CCDC65,1,significant2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CCDC65 normalised expression value_violin_by_gname.pdf,True,True,raw_support/Fig8H_CCDC65_significant2_violin_by_gname.pdf
CCDC65,2,violin_plots2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/violin_plots2/CCDC65 normalised expression value_violin_by_gname.pdf,True,False,raw_support/Fig8H_CCDC65_violin_plots2_violin_by_gname.pdf
CCDC65,3,legacy_violin_plot_pdf,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/5/不育基因表达/基因_表达_Volin_plot_CCDC65.pdf,False,False,
DNAH8,1,significant2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/DNAH8 normalised expression value_violin_by_gname.pdf,True,True,raw_support/Fig8H_DNAH8_significant2_violin_by_gname.pdf
DNAH8,2,violin_plots2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/violin_plots2/DNAH8 normalised expression value_violin_by_gname.pdf,True,False,raw_support/Fig8H_DNAH8_violin_plots2_violin_by_gname.pdf
DNAH8,3,legacy_violin_plot_pdf,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/5/不育基因表达/基因_表达_Volin_plot_DNAH8.pdf,False,False,
PIH1D3,1,significant2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/PIH1D3 normalised expression value_violin_by_gname.pdf,True,True,raw_support/Fig8H_PIH1D3_significant2_violin_by_gname.pdf
PIH1D3,2,violin_plots2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/violin_plots2/PIH1D3 normalised expression value_violin_by_gname.pdf,True,False,raw_support/Fig8H_PIH1D3_violin_plots2_violin_by_gname.pdf
PIH1D3,3,legacy_violin_plot_pdf,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/5/不育基因表达/基因_表达_Volin_plot_PIH1D3.pdf,False,False,
CATSPER3,1,significant2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/显著 2/CATSPER3 normalised expression value_violin_by_gname.pdf,True,True,raw_support/Fig8H_CATSPER3_significant2_violin_by_gname.pdf
CATSPER3,2,violin_plots2_violin_by_gname,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/无精症/violin_plots2/CATSPER3 normalised expression value_violin_by_gname.pdf,True,False,raw_support/Fig8H_CATSPER3_violin_plots2_violin_by_gname.pdf
CATSPER3,3,legacy_violin_plot_pdf,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/figure汇总/2025_终版_20250708/251210/原来作图的数据/5/不育基因表达/基因_表达_Volin_plot_CATSPER3.pdf,True,False,raw_support/Fig8H_CATSPER3_legacy_violin_plot_pdf.pdf
