cluster	Ctrl	iNOA_B	iNOA_S	iNOS_S	OA	AZFc_Del	KS
SPCs	4816(22.56%)	1928(29.10%)	0(0.00%)	0(0.00%)	4907(27.08%)	4932(22.14%)	2881(15.45%)
ECs	251(1.18%)	180(2.72%)	305(2.61%)	241(3.95%)	34(0.19%)	885(3.97%)	878(4.71%)
LCs	205(0.96%)	1097(16.56%)	1777(15.20%)	3590(58.87%)	78(0.43%)	981(4.40%)	3417(18.33%)
Lym	24(0.11%)	44(0.66%)	107(0.92%)	72(1.18%)	7(0.04%)	76(0.34%)	116(0.62%)
Myeloid	447(2.09%)	171(2.58%)	1795(15.36%)	761(12.48%)	23(0.13%)	1106(4.96%)	411(2.20%)
Myoid	458(2.15%)	197(2.97%)	3251(27.81%)	961(15.76%)	55(0.30%)	672(3.02%)	4178(22.41%)
SPGs	557(2.61%)	655(9.89%)	0(0.00%)	0(0.00%)	1146(6.32%)	1041(4.67%)	904(4.85%)
SSCs	4201(19.68%)	1981(29.90%)	1(0.01%)	0(0.00%)	1408(7.77%)	1449(6.50%)	1127(6.04%)
STs	728(3.41%)	372(5.62%)	4453(38.10%)	473(7.76%)	743(4.10%)	5445(24.44%)	354(1.90%)
Spermatids	9664(45.26%)	0(0.00%)	0(0.00%)	0(0.00%)	9718(53.63%)	5692(25.55%)	4380(23.49%)
SUM	21351	6625	11689	6098	18119	22279	18646
