cluster	Ctrl_1	iNOA_B	iNOA_S1	iNOA_S2	iNOA_S3	Ctrl_2	Ctrl_3	OA_2	OA_3	OA_4	AZFc_Del_4	AZFc_Del_1	AZFc_Del_2	KS_1	KS_2	AZFc_Del_3
SPCs	1996(37.06%)	1928(29.10%)	0(0.00%)	0(0.00%)	0(0.00%)	331(4.04%)	2489(32.04%)	839(14.09%)	2215(38.15%)	1853(29.14%)	680(13.09%)	232(4.78%)	1953(34.90%)	0(0.00%)	2881(27.62%)	2067(31.16%)
ECs	29(0.54%)	180(2.72%)	174(3.76%)	241(3.95%)	131(1.85%)	192(2.34%)	30(0.39%)	10(0.17%)	13(0.22%)	11(0.17%)	267(5.14%)	547(11.26%)	0(0.00%)	805(9.80%)	73(0.70%)	71(1.07%)
LCs	6(0.11%)	1097(16.56%)	1050(22.70%)	3590(58.87%)	727(10.29%)	81(0.99%)	118(1.52%)	4(0.07%)	16(0.28%)	58(0.91%)	161(3.10%)	697(14.35%)	6(0.11%)	3296(40.13%)	121(1.16%)	117(1.76%)
Lym	4(0.07%)	44(0.66%)	61(1.32%)	72(1.18%)	46(0.65%)	15(0.18%)	5(0.06%)	5(0.08%)	1(0.02%)	1(0.02%)	23(0.44%)	27(0.56%)	0(0.00%)	110(1.34%)	6(0.06%)	26(0.39%)
Myeloid	18(0.33%)	171(2.58%)	719(15.55%)	761(12.48%)	1076(15.23%)	376(4.59%)	53(0.68%)	10(0.17%)	3(0.05%)	10(0.16%)	206(3.97%)	600(12.36%)	1(0.02%)	373(4.54%)	38(0.36%)	299(4.51%)
Myoid	27(0.50%)	197(2.97%)	1315(28.43%)	961(15.76%)	1936(27.41%)	371(4.53%)	60(0.77%)	34(0.57%)	2(0.03%)	19(0.30%)	43(0.83%)	179(3.69%)	0(0.00%)	3605(43.89%)	573(5.49%)	450(6.78%)
SPGs	282(5.24%)	655(9.89%)	0(0.00%)	0(0.00%)	0(0.00%)	154(1.88%)	121(1.56%)	508(8.53%)	287(4.94%)	351(5.52%)	265(5.10%)	74(1.52%)	182(3.25%)	0(0.00%)	904(8.67%)	520(7.84%)
SSCs	590(10.95%)	1981(29.90%)	0(0.00%)	0(0.00%)	1(0.01%)	1447(17.65%)	2164(27.86%)	560(9.40%)	341(5.87%)	507(7.97%)	263(5.06%)	227(4.67%)	245(4.38%)	0(0.00%)	1127(10.80%)	714(10.76%)
STs	316(5.87%)	372(5.62%)	1306(28.24%)	473(7.76%)	3147(44.55%)	75(0.91%)	337(4.34%)	67(1.13%)	392(6.75%)	284(4.47%)	2457(47.30%)	2206(45.43%)	35(0.63%)	25(0.30%)	329(3.15%)	747(11.26%)
Spermatids	2118(39.32%)	0(0.00%)	0(0.00%)	0(0.00%)	0(0.00%)	5155(62.89%)	2391(30.78%)	3918(65.79%)	2536(43.68%)	3264(51.34%)	829(15.96%)	67(1.38%)	3174(56.72%)	0(0.00%)	4380(41.99%)	1622(24.45%)
SUM	5386	6625	4625	6098	7064	8197	7768	5955	5806	6358	5194	4856	5596	8214	10432	6633
