Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
PRM1,3.804476837,2.364257174,0,0,4.820048364,4.578795706
PRM2,3.377905862,1.66535537,0,0,3.841346224,3.748255399
HMGB4,1.723591493,0.909953242,0,0,2.27200489,1.652797264
TSACC,1.278271525,0.790870596,0.012567885,0.086639743,2.604121088,1.761762355
LELP1,1.048515517,0.363015697,0,0,1.588474885,1.063997675
HIST1H2AA,0.803150465,0.295267762,0,1.86757985,1.507089388,0.762534348
TNP1,0.731645511,0.48349683,0,0,1.190309352,1.724539658
SMCP,0.772932107,0.230565227,0,0,1.074479984,0.997955616
CRISP2,0.645438874,0.26136282,0,0,1.003718663,0.977903307
LINC00919,0.588621893,0.257528309,0,0,0.596037007,0.514452677
SPINK2,0.594891945,0.40788035,0.019079701,0.259561504,1.357170364,1.149046586
TCP11,0.575553621,0.281167488,0.014098706,0.029640285,1.003323717,1.015926991
MTATP6P1,5.013757838,4.531318674,3.697600875,4.964908387,5.356333547,4.438503405
MTATP8P2,0.460398046,0,0,0,0,0.004266946
C10orf62,0.457318535,0.10647535,0,0,0.496006132,0.515943499
MT-ND2,8.082464246,7.402296551,6.970760599,7.952244412,7.79450937,7.538446667
MT-CO2,7.638858075,7.210993504,6.566936005,7.623769811,7.671745142,7.391350146
MT-CO3,9.380336752,8.772343126,8.442663403,9.169776766,9.244890536,9.014302899
TPPP2,0.391666047,0.124391046,0,0,0.648173896,0.462377342
MT-ATP6,8.078206639,7.522987242,7.132389596,7.93228473,8.040104203,7.470369256
MT-ND4,8.709885272,8.07455559,7.852372854,8.432457749,8.522968632,8.05083176
MT-CYB,8.247772077,7.620980039,7.322211028,7.676346678,7.972211034,7.738411644
C1orf194,0.352653344,0.154028938,0,0,1.083660814,0.683321466
MT-ATP8,4.578735329,4.131700714,3.366059282,5.241440365,4.458054051,3.265726446
AKAP4,0.383972656,0.107794266,0,0,0.23574325,0.32467978
MT-ND4L,5.707701976,5.32907205,4.651896942,6.299099344,5.700108415,4.534039628
MTCO1P25,0.269810877,0,0,0,0.008700099,0
BOD1L2,0.302594423,0.200873174,0,0,0.604435003,1.139790418
FRZB,0.531794339,0.060053796,0.015793404,0.108902079,0.365402625,0.08190003
ROPN1L,0.272367284,0.170267659,0.001526074,0.022156923,0.740470743,0.574319356
CMTM2,0.310821901,0.170815555,0.001781682,0.00514412,0.598089374,0.87603185
NUPR2,0.446836771,0.187191253,0.008449726,0.014846727,0.885014875,1.136237029
GTSF1,0.28508713,0.190877077,0,0.021805766,0.696434253,0.509538368
MT-CO1,9.158905058,8.539615308,8.385347301,8.81932905,9.084291013,8.732290153
CAPZA3,0.296587164,0.15854849,0,0,0.578095073,0.534100995
MTRNR2L1,0.385208779,0.012983056,0.006571222,1.318137044,0.133851176,0.310627912
TMCO2,0.22997367,0.118032818,0,0,0.440498339,0.471031262
CDKN3,0.40890673,0.289999484,0.02820281,0.028572165,0.88611069,0.842565135
LDHC,0.260250789,0.238142162,0.002227412,0.010925709,0.919053018,0.642376056
INHBB,1.481372219,0.793756717,0.513359691,1.134028864,1.577374372,1.232419306
AZGP1,1.373285573,0.560844601,0.408830916,1.196973579,1.344578801,1.298778296
VSIG1,3.234089168,2.684243111,2.213854472,3.084450048,3.118938594,2.615961899
DKKL1,0.216994583,0.083464898,0,0.009831606,0.460808408,0.495205947
HLA-A,1.194239171,1.207908674,0.500275037,1.7844065,1.106000661,1.466094942
DYNLRB2,0.388720399,0.264239698,0.031267279,0.069468224,0.917021317,0.911083754
SPANXN3,0.223185968,0.147605539,0,0,0.102772454,0.076761573
MT-TC,0.806332277,0.384645831,0.09688124,0.417215211,1.373393589,0.234349778
SPTY2D1OS,0.788616009,0.48255769,0.152190142,0.159750237,1.314727414,1.130408849
CABS1,0.235337126,0.05104248,0,0,0.222107334,0.234453385
SPANXB1,0.191061714,0.164037983,0,0,0.222267134,0.226065453
AL450405.1,0.344447676,0.500990401,0.032682793,0.039080833,0.032459305,1.121402429
PHF7,0.640269862,0.362567254,0.100922961,0.267528619,1.056109658,1.342116856
OAZ3,0.35681878,0.133217153,0.024228714,0.020650051,0.637099577,0.600418022
TMCO5A,0.208574884,0.07724745,0,0,0.399800898,0.304138862
GTSF1L,0.21982771,0.061416591,0,0,0.356416235,0.431552916
RNF151,0.179917279,0.05195246,0,0,0.269041879,0.316083658
PPP1R2C,0.252455315,0.133263351,0,0,0.121370949,0.170203016
SPATA8,0.151592407,0.123217979,0,0.029478534,0.735446403,0.512551641
MT-TP,3.868423084,2.283344517,2.038803039,2.845575129,3.11528943,1.180375012
TMEM31,0.219296269,0.066682565,0.001690025,0.007185366,0.158716316,0.14245748
BX119904.2,0.280148674,0.06800711,0,0,0.055450773,0.043695836
AC010255.3,0.183843334,0.074399189,0,0.005656723,0.332863707,0.218617555
LAPTM4A,3.652859905,3.733760866,3.042324649,2.995869484,3.807015357,3.650658884
TRIM36,0.22500505,0.098417983,0.005428328,0,0.314758674,0.389930918
LINC01191,0.17343827,0.1056924,0.002861301,0,0.443535043,0.579104582
COX8C,0.141216749,0.09759202,0,0.042520944,0.278337402,0.292079352
SPATA42,0.172002381,0.067373571,0,0,0.384047469,0.283951071
LINC00301,0.193527226,0.110419222,0.00364429,0.011047021,0.486196437,0.484292222
C20orf141,0.162200346,0.040148229,0,0,0.348286793,0.206696343
RNASE1,5.752512769,5.687967873,5.186246619,5.263255967,5.8418624,5.761415299
ROPN1B,0.228583282,0.124599863,0.008982702,0.019072699,0.594972659,0.611537022
TIMD4,0.155808429,0.117270712,0.000286399,0,0.343292062,0.368783901
TEX38,0.19544022,0.081122227,0.003442161,0,0.404959365,0.432464562
UBL4B,0.190922893,0.05200085,0,0,0.248711113,0.223657487
REG3G,1.16293125,0.429389478,0.259634228,0.796706874,1.209518778,0.912664252
PAGE2B,0.142618729,0.075269437,0,0.024876983,0.062709938,0.132359065
C5orf58,0.165492417,0.273029998,0.001401845,0.085040291,0.795393954,0.599073807
MRVI1-AS1,0.186781674,0.138304515,0.003210297,0.030684929,0.447406964,0.516217137
ROPN1,0.16340468,0.101580488,0.009155895,0.011862234,0.443560458,0.47549757
IZUMO4,0.238760808,0.161688503,0.015513249,0.034930875,0.72373792,0.709417295
CT83,0.152610161,0.074382464,0,0,0.13003252,0.089210587
AKAP12,3.731157263,3.118117585,3.106940546,3.616101872,3.540593187,3.445695791
HIST1H2BA,0.124132719,0.043906419,0,0.249222914,0.267795341,0.086919693
IQCF1,0.129514115,0.041733991,0,0,0.284819511,0.251275077
TUBA3C,0.125270075,0.12647498,0,0.023455469,0.521683803,0.478441118
LINC00943,0.138787979,0.045870244,0,0,0.180292264,0.132536093
CDIPT-AS1,0.244395294,0.11829655,0.015054804,0,0.300669904,0.299738636
CSMD2-AS1,0.137555951,0.028934109,0,0,0.166124946,0.208923544
SPATA3,0.158851821,0.043439848,0,0,0.199482118,0.250231495
HORMAD1,0.148681249,0.107486158,0.00039073,0.094877819,0.330199859,0.2059185
MTCYBP35,0.135084061,0,0.001109849,0,0,0
RAMP1,0.256060087,0.035804765,0.01978866,0.142402628,0.084087506,0.149389018
AL133499.1,0.131489177,0.077655363,0,0,0.570930054,0.621887911
TEX101,0.131951887,0.127774789,0,0.006331569,0.156143066,0.23564401
CNTN1,0.314163716,0.107427746,0.035107833,0.271674317,0.456153861,0.230150911
TCP10L,0.148336207,0.09154171,0.001740544,0,0.522681546,0.449022419
ADCYAP1,0.196146927,0.011864126,0.004618677,0.054833591,0.080879032,0.017240033
SPANXD,0.145604302,0.143473512,0,0,0.183370175,0.069696161
BRDT,0.115763375,0.064467349,0,0.038527561,0.277381172,0.339821744
CCDC196,0.147240743,0.047199524,0.001468777,0,0.175548115,0.171687135
ADAD1,0.118353054,0.086125796,0.002606621,0.012172563,0.414768605,0.413992491
PGK2,0.120657115,0.059229602,0,0,0.331391916,0.273839506
LINC00226,0.120612693,0.04274109,0,0,0.12173045,0.088981081
SPANXN4,0.157990154,0.091919289,0,0,0.057429105,0.038201808
DNAJC5B,0.134135534,0.050640412,0,0,0.224735831,0.163469032
SPACA3,0.176317263,0.077451586,0.005282373,0,0.290803278,0.271209514
