gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
A1BG,0.004831491,0,0,0,0,0.002093245
A1BG-AS1,0,0,0,0,0.001998386,0
A2M,1.288771886,0.895941347,0.490847283,1.652735422,1.160749593,1.111326081
A2M-AS1,0.015751096,0,0.026561526,0.024560081,0.043145428,0.060153893
A2ML1,0.3341112,0.301280395,0.427854424,0.300198253,0.389988057,0.451010134
A2ML1-AS1,0,0,0,0,0.000524559,0.002213025
A2ML1-AS2,0,0,0.002110038,0,0,0
A2MP1,0.008868728,0,0.00334978,0,0.000999851,0
A4GALT,0.049093243,0.032423597,0.061304336,0.085379528,0.08416147,0.088210473
AAAS,0.136365247,0.109939463,0.174792489,0.118487127,0.196973248,0.215132513
AACS,0.056426447,0.043107876,0.065957191,0.054741323,0.06304882,0.086008029
AACSP1,0,0,0,0.002391863,0.001126514,0.001939335
AADAC,0.00576212,0.018345528,0.011764621,0.019100067,0.015262923,0.009737675
AADACL2,0.007740145,0,0,0,0,0
AADACL2-AS1,0.003563553,0,0,0.005589063,0.00076136,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0.004615267,0.005161526,0.001437067,0.001610371,0
AADAT,0.050787493,0.045821382,0.048572239,0.048222423,0.034068801,0.075791488
AAED1,0.343821695,0.370505159,0.52880219,0.315677693,0.510080315,0.381513075
AAGAB,0.172164494,0.152445611,0.208762375,0.128818619,0.211676722,0.138729781
AAK1,0.176075458,0.252919118,0.167459151,0.027387391,0.138502613,0.065677367
AAMDC,0.080189295,0.105982183,0.226141182,0.199944981,0.387968024,0.275243803
AAMP,0.615447745,0.38071287,0.686723286,0.695501892,0.665624563,0.903359991
AANAT,0.001077796,0,0,0.000927503,0.00045869,0.006468098
AAR2,0.205089561,0.1437945,0.251698778,0.176398111,0.227301367,0.192700603
AARD,3.45853969,5.065018835,5.605103151,2.761760318,4.02085276,4.223689717
AARS,0.116006071,0.082591855,0.189564,0.13723401,0.165867941,0.209626806
AARS2,0.03374581,0.014622843,0.036954537,0.033635221,0.035258708,0.028929728
AARSD1,0.034955422,0,0.010230895,0.008012584,0.009887085,0.002071484
AASDH,0.262077393,0.281289908,0.310582025,0.231134092,0.234891115,0.192712823
AASDHPPT,0.831361674,0.773101898,0.943259135,0.842105729,1.214367789,1.048048867
AASS,0.108361214,0.153355807,0.119194832,0.124963338,0.086939102,0.080169414
AATBC,0.00343992,0,0.00064306,0.004112214,0.00172325,0.003303319
AATF,0.105270216,0.171898653,0.158581212,0.122077301,0.156091992,0.145606586
AATK,0.002869804,0.003227783,0.002054426,0.004818915,0.011275416,0.068038917
AB015752.1,0.001738091,0,0,0.004404278,0.000487889,0
ABALON,0.016835891,0.105140209,0.074329437,0.001610941,0.002048651,0.002518475
ABAT,0.676263331,0.411195106,0.421879358,0.491313777,0.633681409,0.48230322
ABCA1,1.365491872,0.608796197,0.543818007,0.859067845,0.70638657,0.573863906
ABCA10,0.089564256,0.091693475,0.05495249,0.17480789,0.056582379,0.159115642
ABCA11P,0.013178482,0.01333671,0.032380124,0.021716725,0.037438352,0.024963976
ABCA12,0.041533633,0.031690432,0.023747755,0.046337126,0.031290493,0.045718822
ABCA13,0.019306133,0.026457793,0.019108997,0.06198419,0.019369531,0.028193393
ABCA17P,0.065967178,0.018599952,0.012420586,0.216911182,0.051649291,0.16793029
ABCA2,0.076048303,0.094608563,0.086172495,0.105547382,0.076041098,0.110727468
ABCA3,0.047568211,0.073695891,0.100395731,0.075043519,0.063178797,0.095470089
ABCA4,0.002090095,0,0.000717236,0,0.000136384,0
ABCA5,0.135935518,0.058601935,0.073197976,0.069607586,0.137839972,0.127950541
ABCA6,0.009614414,0.00342239,0.004417768,0.006088564,0.005237842,0.001831721
ABCA7,0.005187785,0.007177311,0.001710827,0.002335663,0.002929169,0.002954502
ABCA8,2.075940853,1.821760774,2.282566311,1.689806041,2.443880139,1.165035792
ABCA9,0.012389108,0.016910458,0.023556816,0.034002552,0.016945791,0.012803001
ABCA9-AS1,0,0,0,0.002637564,0.001171009,0
ABCB1,0.015380099,0,0.033938678,0.005155471,0.016893996,0
ABCB10,0.037771215,0.01743755,0.03323051,0.031429638,0.037066594,0.033815714
ABCB10P1,0,0,0,0,0.000151951,0
ABCB11,0,0,0,0.003281064,0.000973466,0.00876803
ABCB4,0,0,0.000107287,0,0.000415688,0.002252532
ABCB5,0,0,0.001728089,0.003172033,0.00043395,0.004220553
ABCB6,0,0,0.001265832,0,0,0
ABCB7,0.19420519,0.273728331,0.321931976,0.160325637,0.267994941,0.130711522
ABCB8,0.073608342,0.073836533,0.062574,0.090455807,0.068594134,0.1160566
ABCB9,0.204255083,0.114643128,0.165779396,0.17605994,0.182202925,0.231970639
ABCC1,0.53594113,0.53211052,0.568161332,0.616131681,0.781591929,0.628755494
ABCC10,0.078659717,0.042286021,0.065146787,0.13208648,0.127076859,0.133791609
ABCC11,0,0.002973787,0.000760822,0.004658722,0.00342135,0
ABCC12,0.005766349,0,0,0.011927572,0.000500588,0.004059814
ABCC13,0,0,0,0.002238275,0.000105968,0
ABCC2,0,0.008300928,0.005145983,0.005068943,0.003637245,0.006709724
ABCC3,0.069648381,0.074718983,0.172141402,0.191535534,0.10343438,0.205984787
ABCC4,0.087988975,0.07566461,0.14280319,0.080088363,0.088370118,0.064102631
ABCC5,0.525142418,0.574466887,0.406689264,0.498742751,0.475574572,0.451982281
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0.003363804,0.01466683,0.023904576,0.007044992,0.000329059,0.004244673
ABCC6P1,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0
ABCC8,0,0,0,0,0.000223251,0
ABCC9,0.001125781,0.007377052,0.003576111,0,0.007412552,0.036633275
ABCD1,0.276334944,0.24624509,0.345946571,0.448887375,0.347302566,0.653023003
ABCD2,0.006620705,0,0.002910407,0.001518967,0.005193818,0.00200268
ABCD3,0.713967312,0.770726562,0.896730983,0.780608605,1.007150838,0.784581032
ABCD4,0.147040014,0.200275503,0.198096362,0.185887772,0.227485811,0.16897808
ABCE1,0.598895115,0.534551212,0.730091211,0.518496658,0.730681944,0.384309981
ABCF1,0.686374541,0.782944293,0.691848601,0.572281913,0.630643777,0.78647074
ABCF2,0.047880635,0.107328146,0,0,0,0
ABCF2-2,0.060471232,0,0.158866436,0.159510206,0.177614332,0.191763282
ABCF3,0.283336635,0.271528796,0.362152317,0.317745548,0.313543716,0.449679436
ABCG1,0.011299369,0.003390555,0.01260658,0.001783625,0.013148598,0.008265345
ABCG2,0.106861757,0.099623252,0.187594795,0.065798572,0.087680592,0.093542942
ABCG4,0,0,0,0,0.000954027,0.002155372
ABCG5,0,0.004862354,0.003034036,0,0.000214922,0
ABHD1,0.028533658,0,0.014616032,0.099069651,0.016286104,0.094378497
ABHD10,0.412334807,0.400537693,0.743777533,0.344476095,0.669817518,0.536342108
ABHD11,0.260826415,0.263854361,0.347391947,0.274764231,0.326447256,0.546562482
ABHD11-AS1,0,0,0.003122031,0,0.002844742,0.004810976
ABHD12,0.087027819,0.038107312,0.102102815,0.104908662,0.10136665,0.143769107
ABHD12B,0.009431347,0,0.001382965,0.000867553,0.000914678,0.010444638
ABHD13,0.164609705,0.13054022,0.161543201,0.18191851,0.223279906,0.189668904
ABHD14A,0.143715683,0.125061185,0.135696567,0.171952215,0.1649697,0.204663774
ABHD14B,0.116373012,0.123447388,0.149641763,0.111437828,0.16514673,0.135503352
ABHD15,0.029856005,0.038108072,0.031321913,0.068267674,0.061082375,0.035842769
ABHD16A,0.001566512,0.003383101,0.003076143,0.003158843,0.00271759,0.002579505
ABHD16B,0,0,0,0.002550218,0.000355403,0.01344579
ABHD17A,0.148501288,0.171819947,0.233047695,0.165583677,0.25166323,0.377738311
ABHD17AP6,0,0.003769334,0,0,0.000266549,0.002071484
ABHD17B,0.457526515,0.461848534,0.433516091,0.432317846,0.516877009,0.360468847
ABHD17C,0.152969297,0.091185656,0.12386861,0.168279821,0.224749163,0.178534769
ABHD18,0.089673779,0.065388031,0.126267568,0.054585949,0.116639304,0.057546042
ABHD2,0.233094471,0.224417723,0.170727945,0.290882794,0.212586734,0.245090039
ABHD3,0.159757586,0.089538984,0.067665038,0.236334558,0.194631973,0.182387091
ABHD4,1.428385191,0.78360241,1.576961533,1.6734375,1.921082995,1.626477707
ABHD5,0.117838118,0.099243816,0.134954587,0.123504343,0.128583352,0.126786131
ABHD6,0.205442135,0.08191174,0.159187982,0.132027321,0.190115821,0.224736579
ABHD8,0.01164031,0.022290668,0.038358714,0.038184869,0.036829678,0.130227902
ABI1,1.074573749,1.239876976,1.405962746,1.034977982,1.584024371,0.82310016
ABI2,1.055655223,1.310623344,1.855147507,0.783630532,1.480306863,0.845771301
ABI3,0,0,0.000108591,0.000937582,0.000835283,0
ABI3BP,0.045185615,0.016255057,0.049139057,0.028210811,0.038998279,0.023327403
ABL1,0.198240601,0.111199897,0.247861438,0.145496455,0.258133848,0.211998856
ABL2,0.106127994,0.062749971,0.10766534,0.037879495,0.12201088,0.047023089
ABLIM1,0.36947269,0.616259042,0.742276753,0.076401504,0.431100471,0.171884581
ABLIM2,0.006677775,0.003625763,0.005505634,0.005763683,0.011379133,0.016444364
ABLIM3,0,0,0.008132773,0,0.005862176,0
ABO,0.180969689,0.252598005,0.202347547,0.28067007,0.160056001,0.211447779
ABR,0.012031922,0.003576147,0.033386714,0.017405827,0.055612246,0.043819284
ABRA,0.012596122,0,0,0.018921951,0.007654165,0.065510364
ABRACL,1.854954891,1.946821584,2.937564401,2.457956699,3.268496484,3.0046144
ABRAXAS1,0.067515956,0.089517853,0.089486241,0.160033457,0.172509881,0.162996356
ABRAXAS2,0.323341917,0.22848302,0.415552395,0.194269251,0.265659259,0.205593194
ABT1,0.361642563,0.228525759,0.355987742,0.416830385,0.422338023,0.453289384
ABT1P1,0,0,0,0,0.000155318,0.002204516
ABTB1,0.034877705,0.042369716,0.038097753,0.035909042,0.039458909,0.037623702
ABTB2,0.053393971,0.057954269,0.058589675,0.060383376,0.130784923,0.115133088
AC000032.1,0,0,0,0,0.000485909,0
AC000036.1,0.003776943,0,0,0.012634666,0.002683516,0.028974332
AC000061.1,0,0,0,0.001394243,0.00045508,0
AC000067.1,0,0,0.000453967,0,0,0
AC000068.1,0,0.003942617,0.003248803,0.002045084,0.000124554,0.004244673
AC000068.2,0,0,0,0.001987848,0.003109776,0.004481607
AC000089.1,0.007590721,0.010914727,0.014287307,0.007574402,0.008579267,0.011543533
AC000095.2,0,0,0,0.019716267,0.001220579,0.004119222
AC000099.1,0,0,0,0.014248982,0.000556989,0.003797153
AC000123.1,0,0,0.002575625,0.001230654,0,0
AC000123.2,0,0,0.001769478,0.000812796,0.002353998,0.00504758
AC000123.3,0.010027647,0,0.008649764,0.001872827,0.008002903,0.008941412
AC000124.1,0,0,0,0.000812796,0,0.00320956
AC000403.1,0,0.005042933,0.007923616,0.008778835,0.011609628,0.015690668
AC001226.1,0.00416053,0.003065608,0.007385847,0.009725723,0.004590771,0.011017661
AC001226.2,0,0,0.005773213,0,0.00082679,0.0026543
AC002044.1,0,0,0.002394234,0.002484301,0.006669426,0
AC002056.1,0,0.007213622,0.004108997,0,0.00111138,0
AC002059.1,0,0,0,0.001719711,0.000511131,0
AC002064.1,0,0,0,0.00320979,0,0
AC002064.2,0,0,0,0.002177933,0,0
AC002064.3,0.013622209,0,0.00020225,0.03308685,0.003288381,0.019329683
AC002066.1,0.006990819,0,0.003945877,0.003910752,0.003122511,0.001914567
AC002070.1,0,0,0.006382082,0.004384228,0.004132037,0.016705539
AC002074.1,0.012548347,0.019552527,0.01732576,0.008532631,0.02055824,0.011798299
AC002075.2,0,0.00315212,0.001827315,0.002587189,0.001005678,0.001753487
AC002091.1,0,0,0,0,0.000471105,0
AC002091.2,0,0,0,0.001367168,0.000134473,0
AC002094.2,0,0,0,0,0.000608384,0
AC002094.4,0,0,0,0,0.000353391,0
AC002094.5,0.006626026,0.003348746,0.000839441,0,0,0
AC002115.1,0.003080672,0.008871494,0,0.003458332,0.000627388,0
AC002116.2,0,0,0,0.001104356,0.000831005,0
AC002128.1,0.003319196,0,0.002536569,0,0.000357014,0
AC002128.2,0,0,0.00116105,0,0,0
AC002310.1,0.019737442,0.007057805,0.018652374,0.009391879,0.019833763,0.01895857
AC002310.6,0.008212135,0,0.007787146,0.009447233,0.006272855,0.027862678
AC002350.1,0.01093172,0.012564906,0.005228725,0.004473287,0.002946288,0.004838958
AC002378.1,0.018036285,0.042326061,0.048525527,0.009989363,0.026953186,0.030206481
AC002383.1,0.002430205,0,0,0.001789643,0.001786884,0
AC002386.1,0,0,0,0.000774258,0.00040732,0
AC002398.1,0,0.004515213,0.002949017,0,0,0
AC002398.2,0,0,0,0,0.003486523,0.002308706
