gname,Gene name,Scaled Normalised expression value,Percentage
Ctrl,FLII,0.0,0.139
Ctrl,FNDC8,0.0,0.056
Ctrl,LY6K,0.0,0.055
Ctrl,HSPA1A,1.0,0.195
Ctrl,HMOX1,1.0,0.033
Ctrl,FTH1,0.0,0.229
Ctrl,CDKN3,0.0,0.643
Ctrl,ADAM7,0.0,0.177
Ctrl,SPA17,0.0,0.438
Ctrl,GAPDHS,0.0,0.049
Ctrl,LDHC,0.0,0.522
Ctrl,ADGRG2,1.0,0.039
Ctrl,TSSK1B,0.0,0.195
Ctrl,TSSK2,0.0,0.0
Ctrl,NDUFS7,0.0,0.101
Ctrl,NDUFB4,0.0,0.646
Ctrl,UQCR10,0.0,0.716
Ctrl,NDUFC1,0.0,0.569
Ctrl,ATP5IF1,0.0,0.635
Ctrl,COX6C,0.0,0.836
Ctrl,COX20,0.0,0.041
OA,FLII,1.0,0.513
OA,FNDC8,1.0,0.293
OA,LY6K,1.0,0.24
OA,HSPA1A,0.0,0.118
OA,HMOX1,0.0,0.023
OA,FTH1,1.0,0.582
OA,CDKN3,1.0,0.787
OA,ADAM7,1.0,0.341
OA,SPA17,1.0,0.84
OA,GAPDHS,1.0,0.524
OA,LDHC,1.0,0.728
OA,ADGRG2,0.0,0.014
OA,TSSK1B,1.0,0.541
OA,TSSK2,1.0,0.533
OA,NDUFS7,1.0,0.618
OA,NDUFB4,1.0,0.793
OA,UQCR10,1.0,0.826
OA,NDUFC1,1.0,0.749
OA,ATP5IF1,1.0,0.8
OA,COX6C,1.0,0.896
OA,COX20,1.0,0.304
