ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0015980,energy derivation by oxidation of organic compounds,318/18723,1.51804555267309e-16,6.61414081866956e-13,5.76741130966149e-13,ATP5ME/PRELID1/NDUFS7/DYRK2/PINK1/NDUFA2/ACO2/IDH3A/NUPR1/AGL/COX6A1/ETFRF1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/SDHB/PIK3CA/EPM2AIP1/IL6ST/PPP1CA/IRS2/GAA/COX7B/IREB2/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/DHTKD1/PPP1CC/COA6/OXA1L/HIF1A/NDUFB3/DLD/GSK3B/UQCRB,44,44/593
BP,GO:0006091,generation of precursor metabolites and energy,490/18723,2.9105130115157597e-16,6.61414081866956e-13,5.76741130966149e-13,GAPDH/ATP5ME/PRELID1/NDUFS7/HSD17B6/DYRK2/PINK1/NDUFA2/ACO2/IDH3A/NUPR1/AGL/COX6A1/ETFRF1/CYP19A1/COX6C/NDUFA4/NDUFC1/SNCA/ALDOC/COX7A2/NDUFB4/NDUFB1/STEAP4/SDHD/GHITM/SDHB/PIK3CA/EPM2AIP1/IL6ST/PPP1CA/RPIA/IRS2/GAA/FDXR/COX7B/IREB2/COX17/NDUFA5/NDUFC2/NDUFB8/CYB5A/NDUFA10/CYCS/DHTKD1/PPP1CC/COA6/OXA1L/ACAT1/AKR1A1/HIF1A/NDUFB3/DLD/GSK3B/UQCRB,55,55/593
BP,GO:0009060,aerobic respiration,189/18723,7.306156638696881e-15,1.10688273076258e-11,9.65181745427851e-12,ATP5ME/NDUFS7/PINK1/NDUFA2/ACO2/IDH3A/NUPR1/COX6A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/SDHB/COX7B/IREB2/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/DHTKD1/COA6/OXA1L/HIF1A/NDUFB3/DLD/UQCRB,32,32/593
BP,GO:0045333,cellular respiration,230/18723,1.13189448106544e-14,1.28611510411061e-11,1.12146913716089e-11,ATP5ME/PRELID1/NDUFS7/PINK1/NDUFA2/ACO2/IDH3A/NUPR1/COX6A1/ETFRF1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/SDHB/PIK3CA/COX7B/IREB2/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/DHTKD1/COA6/OXA1L/HIF1A/NDUFB3/DLD/UQCRB,35,35/593
BP,GO:0022900,electron transport chain,175/18723,3.65580071006728e-14,3.3231228454511496e-11,2.89770308913754e-11,NDUFS7/HSD17B6/PINK1/NDUFA2/COX6A1/ETFRF1/CYP19A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/STEAP4/SDHD/GHITM/SDHB/COX7B/NDUFA5/NDUFC2/NDUFB8/CYB5A/NDUFA10/CYCS/COA6/AKR1A1/NDUFB3/DLD/UQCRB,30,30/593
BP,GO:0022904,respiratory electron transport chain,114/18723,1.25850825681735e-13,9.486694320729167e-11,8.27222607088074e-11,NDUFS7/PINK1/NDUFA2/COX6A1/ETFRF1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/SDHB/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/COA6/NDUFB3/DLD/UQCRB,24,24/593
BP,GO:0042773,ATP synthesis coupled electron transport,95/18723,1.66982518296663e-13,9.486694320729167e-11,8.27222607088074e-11,NDUFS7/PINK1/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/COA6/NDUFB3/DLD/UQCRB,22,22/593
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,95/18723,1.66982518296663e-13,9.486694320729167e-11,8.27222607088074e-11,NDUFS7/PINK1/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/COA6/NDUFB3/DLD/UQCRB,22,22/593
BP,GO:0006119,oxidative phosphorylation,141/18723,2.31509554792712e-12,1.1208658767291e-9,9.77374796105624e-10,ATP5ME/NDUFS7/PINK1/NDUFA2/NUPR1/COX6A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/GHITM/COX7B/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/COA6/NDUFB3/DLD/UQCRB,25,25/593
BP,GO:0019646,aerobic electron transport chain,87/18723,2.4661515439584098e-12,1.1208658767291e-9,9.77374796105624e-10,NDUFS7/PINK1/NDUFA2/COX6A1/COX6C/NDUFA4/NDUFC1/SNCA/COX7A2/NDUFB4/NDUFB1/SDHD/NDUFA5/NDUFC2/NDUFB8/NDUFA10/CYCS/NDUFB3/DLD/UQCRB,20,20/593
