ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0045333,cellular respiration,230/18723,1.54898368310498e-8,0.0000403368217797914,0.000036203246636576,ACO2/ATP5ME/NDUFS7/IDH3A/PRELID1/PINK1/NDUFA2/COX7A2/IDH1/ETFRF1/TRAP1/AKT1/COX6A1/NDUFB4/NDUFB1/UQCRB/PDHB/NDUFC1/ATP5MF/UQCR11/COX7C/CYCS,22,22/426
BP,GO:0046034,ATP metabolic process,277/18723,2.37062049711432e-8,0.0000403368217797914,0.000036203246636576,GAPDH/ATP5ME/NDUFS7/LDHC/PINK1/DDIT4/NDUFA2/COX7A2/APP/LDHA/COX6A1/NDUFB4/HSPA8/NDUFB1/PKM/UQCRB/NDUFC1/ATP5MF/ATP5IF1/UQCR11/COX7C/CYCS/TPI1/GUK1,24,24/426
BP,GO:0006091,generation of precursor metabolites and energy,490/18723,3.02223939409027e-8,0.0000403368217797914,0.000036203246636576,GAPDH/ACO2/ATP5ME/HMGCS2/NDUFS7/IDH3A/PRELID1/PINK1/DDIT4/NDUFA2/COX7A2/IDH1/ETFRF1/PPP1CA/APP/LDHA/TRAP1/AKT1/CYB5A/COX6A1/NDUFB4/NDUFB1/PKM/AKR1B1/UQCRB/PDHB/NDUFC1/ATP5MF/ATP5IF1/UQCR11/COX7C/CYCS/TPI1,33,33/426
BP,GO:0009060,aerobic respiration,189/18723,6.77496288460248e-8,0.0000678173784748708,0.0000608676928632444,ACO2/ATP5ME/NDUFS7/IDH3A/PINK1/NDUFA2/COX7A2/IDH1/AKT1/COX6A1/NDUFB4/NDUFB1/UQCRB/PDHB/NDUFC1/ATP5MF/UQCR11/COX7C/CYCS,19,19/426
BP,GO:0006694,steroid biosynthetic process,173/18723,8.88757152946063e-8,0.0000711716728079207,0.0000638782509506918,HMGCS2/CLCN2/FDPS/HMGCS1/HSD17B12/DKK3/NR0B1/MSMO1/APOA1/DHH/ERG28/STAR/DHCR24/AKR1B1/DHCR7/SC5D/EGR1/CYB5R3,18,18/426
BP,GO:0019646,aerobic electron transport chain,87/18723,6.26429657546554e-7,0.0004180373914694,0.0003751983948884,NDUFS7/PINK1/NDUFA2/COX7A2/COX6A1/NDUFB4/NDUFB1/UQCRB/NDUFC1/UQCR11/COX7C/CYCS,12,12/426
BP,GO:0015980,energy derivation by oxidation of organic compounds,318/18723,0.00000116919391374818,0.0006239229501451,0.0005599855281023,ACO2/ATP5ME/NDUFS7/IDH3A/PRELID1/PINK1/NDUFA2/COX7A2/IDH1/ETFRF1/PPP1CA/TRAP1/AKT1/COX6A1/NDUFB4/NDUFB1/UQCRB/PDHB/NDUFC1/ATP5MF/UQCR11/COX7C/CYCS,23,23/426
BP,GO:0042773,ATP synthesis coupled electron transport,95/18723,0.00000163859073128166,0.0006239229501451,0.0005599855281023,NDUFS7/PINK1/NDUFA2/COX7A2/COX6A1/NDUFB4/NDUFB1/UQCRB/NDUFC1/UQCR11/COX7C/CYCS,12,12/426
BP,GO:0042775,mitochondrial ATP synthesis coupled electron transport,95/18723,0.00000163859073128166,0.0006239229501451,0.0005599855281023,NDUFS7/PINK1/NDUFA2/COX7A2/COX6A1/NDUFB4/NDUFB1/UQCRB/NDUFC1/UQCR11/COX7C/CYCS,12,12/426
BP,GO:0016126,sterol biosynthetic process,64/18723,0.00000169197213450132,0.0006239229501451,0.0005599855281023,HMGCS2/FDPS/HMGCS1/MSMO1/APOA1/ERG28/DHCR24/DHCR7/SC5D/CYB5R3,10,10/426
BP,GO:0007281,germ cell development,278/18723,0.00000171407403886034,0.0006239229501451,0.0005599855281023,SPINK2/PRM2/AMH/TSSK1B/TNP1/ROPN1L/ZPBP2/TCP11/TSSK2/ZPBP/ROPN1B/DHH/ADAD1/ROPN1/NME5/AKT1/SLIRP/INSL3/DMRT1/SRC/PAQR7,21,21/426
BP,GO:0022904,respiratory electron transport chain,114/18723,0.00000197001348067867,0.0006573278313864,0.0005899671950032,NDUFS7/PINK1/NDUFA2/COX7A2/ETFRF1/COX6A1/NDUFB4/NDUFB1/UQCRB/NDUFC1/UQCR11/COX7C/CYCS,13,13/426
BP,GO:0006119,oxidative phosphorylation,141/18723,0.00000421044272304113,0.0012399378263382,0.0011128733737627,ATP5ME/NDUFS7/PINK1/NDUFA2/COX7A2/COX6A1/NDUFB4/NDUFB1/UQCRB/NDUFC1/ATP5MF/UQCR11/COX7C/CYCS,14,14/426
BP,GO:0008202,steroid metabolic process,319/18723,0.00000433544694523869,0.0012399378263382,0.0011128733737627,HMGCS2/CLCN2/STUB1/FDPS/ACAA1/HMGCS1/HSD17B12/DKK3/NR0B1/MSMO1/APOA1/DHH/APP/ERG28/STAR/DHCR24/AKR1B1/DHCR7/SC5D/EGR1/CYB5R3/COMT,22,22/426
BP,GO:0006695,cholesterol biosynthetic process,57/18723,0.00000513634213485924,0.0012853696192485,0.001153649476869,HMGCS2/FDPS/HMGCS1/MSMO1/APOA1/DHCR24/DHCR7/SC5D/CYB5R3,9,9/426
BP,GO:1902653,secondary alcohol biosynthetic process,57/18723,0.00000513634213485924,0.0012853696192485,0.001153649476869,HMGCS2/FDPS/HMGCS1/MSMO1/APOA1/DHCR24/DHCR7/SC5D/CYB5R3,9,9/426
BP,GO:0007286,spermatid development,165/18723,0.00000574477902329301,0.0013530644240744,0.0012144071569982,SPINK2/PRM2/TSSK1B/TNP1/ROPN1L/ZPBP2/TCP11/TSSK2/ZPBP/ROPN1B/DHH/ADAD1/ROPN1/NME5/SLIRP,15,15/426
