supp_table,title,file
1,Discovery atlas composition,Supplementary_Table_1_Discovery_Atlas_Composition.xlsx
2,Germline divergence statistics,Supplementary_Table_2_Germline_Divergence_Statistics.xlsx
3,Somatic remodeling statistics,Supplementary_Table_3_Somatic_Remodeling_Statistics.xlsx
4,Sertoli trajectory and BTB metrics,Supplementary_Table_4_Sertoli_Trajectory_BTB_Metrics.xlsx
5,Leydig trajectory and endocrine metrics,Supplementary_Table_5_Leydig_Endocrine_Metrics.xlsx
6,Hedgehog communication and GO metrics,Supplementary_Table_6_Hedgehog_Communication_GO_Metrics.xlsx
7,Metabolic uncoupling metrics,Supplementary_Table_7_Metabolic_Uncoupling_Metrics.xlsx
8,OA-vs-control remodeling metrics with contextual LC score summaries,Supplementary_Table_8_OA_vs_Control_Remodeling_Metrics.xlsx
9,Donor niche-collapse axis metrics,Supplementary_Table_9_Donor_Niche_Collapse_Axis_Metrics.xlsx
10,External validation metrics,Supplementary_Table_10_External_Validation_Metrics.xlsx
